Date of Journey,Airfare Price Index,Daily Change %
2023-01-16,106.63833104609536,
2023-01-17,99.3419113032734,-6.842211117940334
2023-01-18,100.70559951243928,1.3727219370712307
2023-01-19,92.37746114682788,-8.269786790338996
2023-01-20,100.24264566574296,8.514181296251344
2023-01-21,98.8623346891107,-1.3769698190477464
2023-01-22,101.83171663651034,3.0035523202414316
2023-01-23,94.64343556992657,-7.058980545562665
2023-01-24,92.12804000260763,-2.6577602051020777
2023-01-25,97.85219791982588,6.213263537416225
2023-01-26,89.87302747783104,-8.154308857254778
2023-01-27,88.57896165897417,-1.4398823041496867
2023-01-28,89.94406759894893,1.541117568334549
2023-01-29,99.82079340966077,10.980964141794324
2023-01-30,91.8909698353196,-7.944059853138485
2023-01-31,85.5195415834498,-6.93368267120068
2023-02-01,89.40637851285864,4.544969322147363
2023-02-02,86.31707227286795,-3.455353288408136
2023-02-03,82.82437815375788,-4.046353782793821
2023-02-04,88.95805941169908,7.405647219656086
2023-02-05,85.97565843697002,-3.3525922153117893
2023-02-06,84.2510413276377,-2.005936494916949
2023-02-07,84.22741061114624,-0.028047981507506314
2023-02-08,82.91954901253166,-1.5527743155403395
2023-02-09,75.26031074800107,-9.236951184301601
2023-02-10,84.21018548020221,11.891891812895338
2023-02-11,91.73360889844992,8.934101469253331
2023-02-12,80.43306883468986,-12.31886568015641
2023-02-13,81.77010606425792,1.662297919175515
2023-02-14,78.47607232894886,-4.028408294738528
